"Type","End Period","Recovery Rate"
"Oil",2010-06-04,16
"Oil",2010-06-05,6061
"Oil",2010-06-06,10496
"Oil",2010-06-07,11119
"Oil",2010-06-08,14842
"Oil",2010-06-09,15006
"Oil",2010-06-10,15816
"Oil",2010-06-11,15402
"Oil",2010-06-12,15554
"Oil",2010-06-13,15039
"Oil",2010-06-14,15208
"Oil",2010-06-15,15421
"Oil",2010-06-16,10448
"Oil",2010-06-17,18227
"Oil",2010-06-18,25295
"Oil",2010-06-19,24552
"Oil",2010-06-20,21041
"Oil",2010-06-21,23291
"Oil",2010-06-22,25816
"Oil",2010-06-23,27098
"Oil",2010-06-24,16866
"Oil",2010-06-25,23734
"Oil",2010-06-26,24548
"Oil",2010-06-27,22758
"Oil",2010-06-28,24455
"Oil",2010-06-29,23400
"Oil",2010-06-30,25223
"Oil",2010-07-01,23079
"Oil",2010-07-02,25154
"Oil",2010-07-03,25291
"Oil",2010-07-04,25198
"Oil",2010-07-05,24959
"Oil",2010-07-06,24982
"Oil",2010-07-07,24761
"Oil",2010-07-08,24579
"Oil",2010-07-09,24399
"Oil",2010-07-10,24792
"Oil",2010-07-11,15200
"Oil",2010-07-12,8235
"Oil",2010-07-13,8302
"Oil",2010-07-14,17063
"Oil",2010-07-15,12843
"Oil",2010-07-16,9307
"Gas",2010-06-04,0
"Gas",2010-06-05,15.7
"Gas",2010-06-06,22
"Gas",2010-06-07,22.1
"Gas",2010-06-08,30.4
"Gas",2010-06-09,29.4
"Gas",2010-06-10,31.1
"Gas",2010-06-11,30.8
"Gas",2010-06-12,31.2
"Gas",2010-06-13,32.9
"Gas",2010-06-14,33.4
"Gas",2010-06-15,33.2
"Gas",2010-06-16,25.1
"Gas",2010-06-17,40.1
"Gas",2010-06-18,50.3
"Gas",2010-06-19,47.4
"Gas",2010-06-20,43.4
"Gas",2010-06-21,48.3
"Gas",2010-06-22,52.2
"Gas",2010-06-23,54.4
"Gas",2010-06-24,36.7
"Gas",2010-06-25,54.7
"Gas",2010-06-26,54.5
"Gas",2010-06-27,52.9
"Gas",2010-06-28,56.2
"Gas",2010-06-29,54.2
"Gas",2010-06-30,57.4
"Gas",2010-07-01,53.2
"Gas",2010-07-02,57.1
"Gas",2010-07-03,56.9
"Gas",2010-07-04,57
"Gas",2010-07-05,56.9
"Gas",2010-07-06,57.1
"Gas",2010-07-07,57.5
"Gas",2010-07-08,57.6
"Gas",2010-07-09,55.5
"Gas",2010-07-10,57.3
"Gas",2010-07-11,35.2
"Gas",2010-07-12,19.5
"Gas",2010-07-13,19.4
"Gas",2010-07-14,41.3
"Gas",2010-07-15,30.7
"Gas",2010-07-16,22.5
